n07851443 double_cream
n04226826 skeleton_key
n01767661 arthropod
n03565288 imprint
n02826886 bell_tower
n03844045 oil_lamp
n03844045 kerosene_lamp
n13099999 deciduous_plant
n04258618 solar_telescope
n02971473 cartouche
n02376679 filly
n03625355 knit
n06267564 daily
n03645011 latch
n01562265 robin
n01562265 redbreast
n04444218 toe
n03044801 clip_on
n12906498 mandrake
n07894965 pinot_noir
n02784124 banana_boat
n03453320 granny_knot
n03453320 granny
n03497100 hash_house
n03992325 potpourri
n09409752 ridge
n09409752 ridgeline
n03455802 gravure
n03455802 photogravure
n13132486 raceme
n10186216 wrangler
n05259914 pigtail
n07586485 oxtail_soup
n04225729 skate
n12876899 figwort
n02022684 shorebird
n12001707 cineraria
n03056288 coal_house
n03604536 jumper
n02170400 carpet_beetle
n12991184 reindeer_moss
n12991184 reindeer_lichen
n12991184 cladonia_rangiferina
n04409011 tender
n04409011 supply_ship
n04468005 train
n04468005 railroad_train
n02387254 farm_horse
n02387254 dobbin
n02053584 booby
n02046939 black_guillemot
n02983904 cathedra
n03731019 mattock
n08645104 scrubland
n07708398 raw_vegetable
n03900979 pavilion
n03900979 marquee
n03666362 led
n02531114 alewife
n02689274 air_gun
n02689274 airgun
n02689274 air_rifle
n03503997 headlight
n03503997 headlamp
n02361706 whistler
n02872529 booster
n02872529 booster_station
n02872529 relay_station
n02872529 relay_transmitter
n02767665 back
n01959492 giant_clam
n01959492 tridacna_gigas
n02871525 bookshop
n02871525 bookstore
n02871525 bookstall
n03621694 kite_balloon
n04222210 single_bed
n01792640 hen
n01792640 biddy
n01835276 nightjar
n01402600 brown_algae
n03191451 dicer
n00453935 fishing
n00453935 sportfishing
n03783430 monocle
n03783430 eyeglass
n15091669 vitamin_b6
n15091669 pyridoxine
n15091669 pyridoxal
n15091669 pyridoxamine
n02602059 liza
n07588111 fish_chowder
n12402051 strangler_fig
n12402051 wild_fig
n12402051 ficus_aurea
n12599874 psyllium
n04210120 shredder
n03844673 oil_refinery
n03844673 petroleum_refinery
n03882960 panhandle
n03688943 lookout
n03688943 observation_tower
n03688943 lookout_station
n03688943 observatory
n04019541 puck
n04019541 hockey_puck
n02883344 box
n03722007 marker
n03114504 cot
n03114504 camp_bed
n03680512 loaner
n04615644 zoot_suit
n02854378 blockhouse
n03253796 duffel
n02667093 abaya
n07568241 farina
n09425344 scablands
n12506991 kidney_vetch
n12506991 anthyllis_vulneraria
n04004210 printed_circuit
n02519686 channel_catfish
n01315213 peeper
n07748753 bitter_orange
n00448958 roller_skating
n02729837 appliance
n03391770 framework
n02470325 ape
n02393580 tapir
n03888605 parallel_bars
n03888605 bars
n01339336 herpes_zoster
n12963628 powdery_mildew
n01747885 cobra
n09348460 massif
n02435853 chevrotain
n02435853 mouse_deer
n13863771 line
n02427576 lechwe
n02799897 baseball_equipment
n01595624 martin
n02758134 auditorium
n03595614 jersey
n03595614 tee_shirt
n10305635 medical_officer
n10305635 medic
n02213543 vespula_vulgaris
n04244847 smack
n12754648 field_maple
n12754648 acer_campestre
n04359034 supertanker
n03294048 equipment
n04087709 ribbed_vault
n04178190 seventy_eight
n13132940 cyme
n07712382 snack_food
n01527194 accentor
n04103364 rolling_stock
n07911677 cocktail
n11616852 virginia_pine
n11616852 jersey_pine
n11616852 pinus_virginiana
n07874780 porridge
n02391049 zebra
n02705201 amphitheater
n02705201 amphitheatre
n12879527 calceolaria
n04128837 sailing_vessel
n04128837 sailing_ship
n01803078 pheasant
n02965300 cargo_ship
n02965300 cargo_vessel
n02433729 roebuck
n12936826 cumin
n07764486 sapote
n07764486 mammee
n03253279 duckpin
n07758260 morello
n13156986 palmate_leaf
n03503718 headgear
n02509197 kinkajou
n02509197 honey_bear
n02509197 potto
n04285146 sports_equipment
n01744100 reticulated_python
n08539276 outskirts
n03684823 locomotive
n03684823 engine
n03684823 locomotive_engine
n03684823 railway_locomotive
n02191273 tsetse_fly
n02191273 tsetse
n02191273 glossina
n02105412 kelpie
n12482893 joshua_tree
n12482893 yucca_brevifolia
n03432129 gearshift
n03432129 shifter
n03432129 gear_lever
n02700064 alternator
n02975589 case
n07714287 chinese_cabbage
n03852688 optical_telescope
n03565565 ied
n03614532 keyboard_instrument
n01931520 pinworm
n01931520 threadworm
n01931520 enterobius_vermicularis
n03340009 filter
n07577918 coffee_break
n07577918 tea_break
n02197689 drosophila
n02197689 drosophila_melanogaster
n03557692 ice_maker
n01916481 sea_fan
n04318787 stile
n02955247 capacitor
n02955247 capacitance
n02955247 condenser
n09463226 tundra
n07845166 pasteurized_milk
n03036022 city_hall
n04523831 vault
n04523831 bank_vault
n01482071 elasmobranch
n07977870 library
n05459101 spermatid
n02846511 blackboard
n02846511 chalkboard
n01791954 bantam
n02180875 rove_beetle
n07921834 scrumpy
n02523877 haddock
n02009380 snowy_egret
n02917742 bullpen
n02917742 detention_centre
n02803666 bass_drum
n01532829 house_finch
n01532829 linnet
n04202417 shop
n04202417 store
n03468696 gun_carriage
n03340923 finery
n12088223 yam
n03571625 inkpot
n03277771 electronic_device
n04113194 roulette
n04113194 toothed_wheel
n03014705 chest
n03127925 crate
n04239639 sling
n12677612 snowberry
n00483705 real_tennis
n00483705 court_tennis
n03223299 doormat
n12236160 salal
n12236160 shallon
n04324515 stocks
n03075946 command_module
n04529108 vernier_scale
n04529108 vernier
n11722982 aconite
n06259898 channel
n02207179 drone
n02809364 baton
n02809364 wand
n03719560 mantelet
n03719560 mantilla
n04211001 shunt
n04211001 bypass
n12527738 coral_tree
n12527738 erythrina
n12860365 basil
n04460130 tower
n03191776 dickey
n03191776 dickie
n03145719 cue_ball
n03617312 kilt
n02660640 pacific_halibut
n04141975 scale
n04141975 weighing_machine
n01379389 staphylococcus
n01379389 staphylococci
n01379389 staph
n02146201 red_bat
n03815278 neckline
n03133050 crochet_hook
n02978205 casque
n03113657 costume
n03788498 motel
n07921615 hard_cider
n13902793 taper
n04383839 taffeta
n04582205 wicker
n04582205 wickerwork
n04582205 caning
n01407798 green_algae
n04445154 toga_virilis
n03532672 hook
n03532672 claw
n13004423 chanterelle
n13134302 bulbous_plant
n07920349 cappuccino
n03538300 horsecar
n03082979 computer
n03082979 computing_machine
n03082979 computing_device
n03082979 data_processor
n03082979 electronic_computer
n03418242 garden_tool
n04080454 resonator
n04080454 cavity_resonator
n04080454 resonating_chamber
n01589286 creeper
n03172038 deflector
n07596967 confectionery
n02174001 rhinoceros_beetle
n02840619 binding
n02840619 book_binding
n02840619 cover
n02840619 back
n11860555 bitterroot
n07803310 buckwheat
n12237486 kalmia
n12293723 gentian
n02376918 male_horse
n03180011 desktop_computer
n05427346 ganglion_cell
n03843555 oil_filter
n03481172 hammer
n07581775 cocktail
n07859284 sugar
n07859284 refined_sugar
n02107908 appenzeller
n08521623 cemetery
n08521623 graveyard
n08521623 burial_site
n08521623 burial_ground
n08521623 burying_ground
n08521623 memorial_park
n08521623 necropolis
n03538037 horse
n02051845 pelican
n12304115 white_ash
n12903503 jimsonweed
n12903503 jimson_weed
n12903503 datura_stramonium
n02733524 arch
n03120491 court
n02415130 urial
n07712063 sweet_potato
n02537716 sea_trout
n02306825 eggar
n02306825 egger
n03474352 hacienda
n12058630 marsh_orchid
n02143891 horseshoe_bat
n01753032 puff_adder
n07592768 ratatouille
n02978055 casket
n03403643 funnel
n04192238 shelter
n03201638 dinner_dress
n03201638 formal
n03201638 evening_gown
n04284002 spoon
n02610373 bergall
n07826340 angelica
n03111296 cornice
n03111296 valance
n01888045 calf
n04225222 six_pack
n04225222 six_pack
n04225222 sixpack
n01853195 eider
n01853195 eider_duck
n07557165 dainty
n07557165 delicacy
n07557165 goody
n07557165 treat
n02130086 tigon
n12304286 swamp_ash
n04308273 stealth_bomber
n01749742 black_mamba
n09219233 berm
n03735637 measuring_stick
n03735637 measure
n00477639 polo
n12105353 crested_wheatgrass
n04545471 walker
n04545471 zimmer
n12223569 waratah
n01442710 rudd
n05459457 leydig_cell
n03465151 guard_ship
n04961691 gray
n04961691 grey
n15092650 biotin
n11675025 rosebud
n03326073 feedback_circuit
n03326073 feedback_loop
n04326799 stonework
n04188179 sheet
n04188179 bed_sheet
n01872772 echidna
n01872772 anteater
n04061793 reception_room
n03714235 makeup
n03714235 war_paint
n01841679 wryneck
n03982430 pool_table
n03982430 billiard_table
n03982430 snooker_table
n02523110 whiting
n13916721 cube
n01791625 chicken
n01791625 gallus_gallus
n07587441 chowder
n01791463 gallus_gallus
n02725872 anvil
n02897820 brick
n12384037 granadilla
n12694486 acerola
n03012373 cheesecloth
n03439814 glider
n03439814 sailplane
n02835915 saddle
n03040376 clean_room
n03040376 white_room
n03254374 dugout_canoe
n03254374 dugout
n03254374 pirogue
n01528845 meadow_pipit
n13163991 branchlet
n13163991 twig
n13163991 sprig
n02229544 cricket
n12507823 rooibos
n12761905 terebinth
n12761905 pistacia_terebinthus
n12168565 lobelia
n02433318 fallow_deer
n02433318 dama_dama
n02276355 red_admiral
n13190060 bracken
n03739693 medical_instrument
n02382750 welsh_pony
n07693048 cinnamon_roll
n03527444 holster
n03088389 condominium
n07888378 shebeen
n01672611 smooth_softshell
n03101986 cookware
n02808968 bathysphere
n07763629 kiwi
n02730568 appointment
n02730568 fitting
n03405595 furnishing
n03405595 trappings
n07934530 black_tea
n12588320 carnauba
n12588320 wax_palm
n02770211 back_porch
n03140900 cruiser
n02261419 booklouse
n02261419 deathwatch
n07692517 bialy
n03952576 pizzeria
n03952576 pizza_shop
n03952576 pizza_parlor
n07616748 banana_split
n02284611 tortrix
n07843775 dairy_product
n04201297 shoji
n01732614 corn_snake
n07585107 chicken_broth
n07585107 chicken_stock
n02390258 hinny
n04165945 security_system
n04165945 security_measure
n04165945 security
n00450700 equestrian_sport
n11632167 monterey_cypress
n11632167 cupressus_macrocarpa
n04033425 queen
n04605726 wrapping
n04605726 wrap
n04605726 wrapper
n02980036 caster
n02980036 castor
n02113186 cardigan
n03010656 chassis
n13354021 pocketbook
n03274265 electric_toothbrush
n04152593 screen
n07820814 savory
n07820814 savoury
n03619050 kirpan
n01787006 sea_spider
n13064457 blister_rust
n12024176 dandelion
n03325088 faucet
n03325088 spigot
n12827537 moonflower
n03119396 coupe
n03693707 loving_cup
n03012897 chemical_plant
n02509515 coati
n02111889 samoyed
n03466839 guildhall
n03780799 moleskin
n08618831 perihelion
n04605321 worsted
n04605321 worsted_yarn
n04065909 recycling_plant
n04306847 statue
n03791235 motor_vehicle
n09450163 sun
n09450163 sun
n07562379 diabetic_diet
n01616086 osprey
n01616086 fish_hawk
n01616086 fish_eagle
n01616086 sea_eagle
n07732302 hominy
n08539072 business_district
n08539072 downtown
n03790755 motor_hotel
n03790755 motor_inn
n03790755 motor_lodge
n03790755 court
n03613592 key
n02680512 adit
n03617480 kimono
n03434285 generator
n04970470 lavender
n03123917 cowbell
n03598385 jig
n03696445 lugger
n02299039 manduca_sexta
n04318982 still
n07932614 rickey
n02786058 band_aid
n07859796 sugar_syrup
n03132261 cricket_equipment
n04179126 sewer
n04179126 sewerage
n04179126 cloaca
n03863923 outer_garment
n03827536 noisemaker
n12231192 bearberry
n12285512 red_alder
n03228365 doubletree
n01392380 ameba
n01392380 amoeba
n12284262 alder
n12284262 alder_tree
n03041114 cleat
n03721590 marina
n03760944 microtome
n00466712 miniature_golf
n03604843 lead
n04219580 silks
n02115913 dhole
n01836087 whippoorwill
n02739668 armor
n02739668 armour
n04542715 waders
n03089753 conference_center
n03089753 conference_house
n04517211 uzi
n04604276 www
n04604276 web
n03616428 kickstand
n02389943 jack
n02389943 jackass
n04179913 sewing_machine
n04253931 soapbox
n12243693 fetterbush
n04102872 roll_film
n03767459 mimeograph
n03767459 mimeo
n03767459 mimeograph_machine
n11994150 tarweed
n12513613 judas_tree
n02755675 attenuator
n03436891 gig
